Step,Loss
0,445073.0
100,34144.75390625
200,15803.7099609375
300,10187.419921875
400,7609.453125
500,6153.7275390625
600,5182.7578125
700,4483.5576171875
800,3956.544921875
900,3545.655029296875
1000,3211.584228515625
1100,2940.3681640625
1200,2721.10693359375
1300,2539.415771484375
1400,2384.802490234375
1500,2252.59423828125
1600,2138.006103515625
1700,2038.57861328125
1800,1949.7105712890625
1900,1870.45166015625
2000,1798.5089111328125
2100,1732.3524169921875
2200,1670.1007080078125
2300,1619.201171875
2400,1557.1453857421875
2500,1507.616455078125
2600,1462.5784912109375
2700,1415.2537841796875
2800,1380.593017578125
2900,1330.768310546875
3000,1291.947265625
