Step,Loss
0,616447.125
100,79301.609375
200,39479.6328125
300,26379.82421875
400,20049.85546875
500,16244.435546875
600,13609.4716796875
700,11720.86328125
800,10330.8798828125
900,9226.0673828125
1000,8425.228515625
1100,7626.01416015625
1200,7014.02685546875
1300,6570.66748046875
1400,6063.76025390625
1500,5686.62353515625
1600,5400.212890625
1700,5063.67724609375
1800,4810.95458984375
1900,4599.4482421875
2000,4569.6787109375
2100,4301.55517578125
2200,4325.7822265625
2300,3875.850341796875
2400,3747.38427734375
2500,3628.133544921875
2600,3526.11279296875
2700,3554.617919921875
2800,3282.841064453125
2900,3367.812255859375
3000,3150.4599609375
