Step,Loss
0,253685.390625
100,46044.078125
200,25726.41015625
300,18336.314453125
400,14352.8330078125
500,11807.1982421875
600,10031.7373046875
700,8677.7939453125
800,7609.89453125
900,6760.328125
1000,6077.0302734375
1100,5538.15234375
1200,5090.4052734375
1300,4714.07421875
1400,4398.32958984375
1500,4121.92041015625
1600,3864.67724609375
1700,3656.384033203125
1800,3456.706298828125
1900,3270.644287109375
2000,3117.385986328125
2100,2984.41845703125
2200,2927.278076171875
2300,2808.600341796875
2400,2640.78955078125
2500,2545.154541015625
2600,2469.7177734375
2700,2410.98388671875
2800,2365.692626953125
2900,2314.223388671875
3000,2278.954345703125
