Step,Loss
0,653800.875
100,56818.31640625
200,28431.232421875
300,19967.173828125
400,15927.9453125
500,13619.537109375
600,12113.0361328125
700,11024.287109375
800,10168.8515625
900,9462.9404296875
1000,8862.068359375
1100,8340.5283203125
1200,7879.70458984375
1300,7467.33837890625
1400,7095.0986328125
1500,6754.9853515625
1600,6441.7607421875
1700,6150.35400390625
1800,5877.41455078125
1900,5617.8662109375
2000,5371.55078125
2100,5137.4228515625
2200,4913.29296875
2300,4698.20703125
2400,4492.4228515625
2500,4295.8310546875
2600,4107.31396484375
2700,3926.212646484375
2800,3753.031494140625
2900,3586.85400390625
3000,3437.42724609375
