Step,Loss
0,827525.75
100,100913.265625
200,49051.7265625
300,33708.578125
400,26561.271484375
500,22235.052734375
600,19311.5703125
700,17226.01953125
800,15832.005859375
900,14331.6708984375
1000,13492.4912109375
1100,12744.2978515625
1200,11691.7783203125
1300,10906.509765625
1400,10639.0703125
1500,9846.1484375
1600,9354.27734375
1700,8933.9140625
1800,8744.5244140625
1900,8219.224609375
2000,7887.326171875
2100,7810.1416015625
2200,7361.6826171875
2300,7119.0361328125
2400,7029.4169921875
2500,6590.52197265625
2600,6370.15966796875
2700,6194.27783203125
2800,6285.630859375
2900,5796.2529296875
3000,5656.828125
