Step,Loss
0,245428.78125
100,46257.84765625
200,26601.390625
300,19896.3984375
400,16226.86328125
500,13794.55859375
600,12008.74609375
700,10609.6826171875
800,9505.759765625
900,8600.8095703125
1000,7848.607421875
1100,7197.45849609375
1200,6639.466796875
1300,6152.2734375
1400,5724.90869140625
1500,5361.17822265625
1600,5004.61669921875
1700,4703.1650390625
1800,4447.06298828125
1900,4209.1240234375
2000,4017.62890625
2100,3796.38134765625
2200,3618.36669921875
2300,3449.08203125
2400,3341.3173828125
2500,3167.13134765625
2600,3059.6787109375
2700,2894.343017578125
2800,2792.90087890625
2900,2697.635498046875
3000,2675.50732421875
