Step,Loss
0,95139.7578125
100,4758.2197265625
200,2799.827880859375
300,2121.46630859375
400,1752.3594970703125
500,1473.9654541015625
600,1276.213623046875
700,1124.6702880859375
800,1001.8499755859375
900,903.5015869140625
1000,839.1061401367188
1100,774.4542236328125
1200,705.3697509765625
1300,661.7200927734375
1400,628.0836181640625
1500,592.5997314453125
1600,566.5435791015625
1700,546.2409057617188
1800,523.5834350585938
1900,508.9912109375
2000,492.1872253417969
2100,481.1378173828125
2200,471.01873779296875
2300,464.9796447753906
2400,445.1814880371094
2500,438.217529296875
2600,426.68829345703125
2700,487.7679748535156
2800,413.1165771484375
2900,405.531982421875
3000,401.06719970703125
