Step,Loss
0,3726.54248046875
100,3110.81884765625
200,2788.247314453125
300,2602.488037109375
400,2479.765380859375
500,2393.5654296875
600,2329.72705078125
700,2280.6640625
800,2242.005126953125
900,2210.60302734375
1000,2184.590087890625
1100,2162.80322265625
1200,2144.36962890625
1300,2128.5390625
1400,2114.6953125
1500,2102.5888671875
1600,2091.94091796875
1700,2082.481689453125
1800,2073.969970703125
1900,2066.3115234375
2000,2059.37109375
2100,2053.06201171875
2200,2047.291259765625
2300,2042.024658203125
2400,2037.2115478515625
2500,2032.771484375
2600,2028.681396484375
2700,2024.907958984375
2800,2021.41748046875
2900,2018.19140625
3000,2015.191162109375
