Step,Loss
0,24542892.0
100,18117408.0
200,14221697.0
300,11561120.0
400,9514058.0
500,7936760.5
600,6749280.0
700,5852328.5
800,5175324.0
900,4658360.5
1000,4248566.0
1100,3919479.75
1200,3650533.0
1300,3423652.75
1400,3228614.5
1500,3057099.75
1600,2903657.75
1700,2765393.75
1800,2641762.75
1900,2529119.5
2000,2425622.5
2100,2330167.75
2200,2241648.75
2300,2159142.75
2400,2082585.125
2500,2010579.625
2600,1942409.0
2700,1878373.75
2800,1817628.125
2900,1759753.625
3000,1704485.25
3100,1651778.75
3200,1600878.875
3300,1552185.5
3400,1505932.0
3500,1461625.5
3600,1419488.625
3700,1379239.375
3800,1340638.5
3900,1303571.25
4000,1267408.375
