Step,Loss
0,5644.9384765625
100,4887.3173828125
200,4427.0869140625
300,4147.41064453125
400,3956.109375
500,3816.333984375
600,3709.689453125
700,3625.794921875
800,3558.0947265625
900,3502.44775390625
1000,3455.856689453125
1100,3416.4052734375
1200,3382.4970703125
1300,3352.92041015625
1400,3327.178955078125
1500,3304.451171875
1600,3284.17578125
1700,3266.0703125
1800,3249.911376953125
1900,3235.38623046875
2000,3222.265625
2100,3210.44189453125
2200,3199.79345703125
2300,3190.123046875
2400,3181.20947265625
2500,3173.14892578125
2600,3165.79296875
2700,3159.01953125
2800,3152.7568359375
2900,3146.99267578125
3000,3141.72607421875
