Step,Loss
0,5058.9921875
100,4418.7822265625
200,4047.52392578125
300,3811.962890625
400,3646.384765625
500,3521.998046875
600,3424.18701171875
700,3344.51708984375
800,3278.6826171875
900,3223.05615234375
1000,3175.41162109375
1100,3134.203369140625
1200,3098.17919921875
1300,3066.50634765625
1400,3038.52099609375
1500,3013.638671875
1600,2991.51708984375
1700,2971.79931640625
1800,2954.119873046875
1900,2938.136962890625
2000,2923.732421875
2100,2910.746337890625
2200,2899.01171875
2300,2888.35693359375
2400,2878.67041015625
2500,2869.83056640625
2600,2861.78076171875
2700,2854.41015625
2800,2847.6826171875
2900,2841.5078125
3000,2835.789794921875
