Step,Loss
0,5402.845703125
100,3272.3232421875
200,3117.084228515625
300,3062.24267578125
400,3031.9921875
500,3012.0947265625
600,2997.62744140625
700,2986.4697265625
800,2977.45751953125
900,2970.04443359375
1000,2963.819580078125
1100,2958.559326171875
1200,2954.0380859375
1300,2950.087646484375
1400,2946.612060546875
1500,2943.474365234375
1600,2940.7099609375
1700,2938.2041015625
1800,2935.968017578125
1900,2933.90771484375
2000,2931.9931640625
2100,2930.249267578125
2200,2928.6650390625
2300,2927.2119140625
2400,2925.79150390625
2500,2924.45654296875
2600,2923.197265625
2700,2922.0263671875
2800,2920.91064453125
2900,2919.916259765625
3000,2918.98779296875
