Step,Loss
0,5430.6650390625
100,3364.706787109375
200,3170.359375
300,3099.419921875
400,3061.9951171875
500,3038.72607421875
600,3022.97265625
700,3011.30419921875
800,3002.18603515625
900,2994.72412109375
1000,2988.33251953125
1100,2982.822998046875
1200,2978.2109375
1300,2974.12158203125
1400,2970.4638671875
1500,2967.1357421875
1600,2964.1640625
1700,2961.48095703125
1800,2959.01904296875
1900,2956.76025390625
2000,2954.689453125
2100,2952.81103515625
2200,2951.09228515625
2300,2949.46630859375
2400,2947.98095703125
2500,2946.607421875
2600,2945.3408203125
2700,2944.156982421875
2800,2943.04052734375
2900,2941.96044921875
3000,2940.9462890625
