Step,Loss
0,4333.19921875
100,3717.055908203125
200,3399.88623046875
300,3208.603515625
400,3077.61181640625
500,2981.40771484375
600,2907.76220703125
700,2849.6123046875
800,2802.5185546875
900,2763.64306640625
1000,2731.126220703125
1100,2703.583740234375
1200,2679.931396484375
1300,2659.2109375
1400,2640.953125
1500,2624.75634765625
1600,2610.164306640625
1700,2596.93603515625
1800,2584.8330078125
1900,2573.7353515625
2000,2563.4833984375
2100,2553.978271484375
2200,2545.071533203125
2300,2536.674560546875
2400,2528.73193359375
2500,2521.32861328125
2600,2514.35986328125
2700,2507.747314453125
2800,2501.50830078125
2900,2495.6611328125
3000,2490.16455078125
