Step,Loss
0,4333.19921875
100,2742.1884765625
200,2582.3369140625
300,2516.077392578125
400,2478.6025390625
500,2454.53857421875
600,2437.1005859375
700,2423.773193359375
800,2413.134765625
900,2404.3525390625
1000,2396.97705078125
1100,2390.708984375
1200,2385.154052734375
1300,2380.31201171875
1400,2375.99609375
1500,2372.25537109375
1600,2368.904296875
1700,2365.916015625
1800,2363.2119140625
1900,2360.74755859375
2000,2358.4990234375
2100,2356.4619140625
2200,2354.59619140625
2300,2352.926513671875
2400,2351.39453125
2500,2350.0
2600,2348.679931640625
2700,2347.482421875
2800,2346.41015625
2900,2345.41357421875
3000,2344.494873046875
3100,2343.600830078125
3200,2342.80078125
3300,2342.0859375
3400,2341.41748046875
3500,2340.771484375
3600,2340.159423828125
3700,2339.6279296875
3800,2339.123291015625
3900,2338.63720703125
4000,2338.15869140625
4100,2337.736328125
4200,2337.31884765625
4300,2336.943359375
4400,2336.5888671875
4500,2336.256103515625
4600,2335.906982421875
4700,2335.60205078125
4800,2335.31005859375
4900,2335.033447265625
5000,2334.778076171875
5100,2334.533447265625
5200,2334.295654296875
5300,2334.06201171875
5400,2333.845458984375
5500,2333.6494140625
5600,2333.465576171875
5700,2333.290771484375
5800,2333.1240234375
5900,2332.9609375
6000,2332.80029296875
