Step,Content Similarity,Style Similarity
0,0.96859145,0.14245616
100,0.4406553,0.26593018
200,0.23187009,0.35572577
300,0.22532396,0.35620022
400,0.21928453,0.35339144
500,0.21493071,0.3505153
600,0.21026513,0.34793755
700,0.20466346,0.3464644
800,0.19963251,0.34233662
900,0.19642843,0.33901983
1000,0.19083597,0.33945656
1100,0.18472183,0.3385789
1200,0.36579338,0.3077924
1300,0.18030624,0.33967775
1400,0.17750809,0.33815312
1500,0.17467773,0.33738202
1600,0.17174241,0.3372986
1700,0.16886325,0.33608183
1800,0.16723165,0.3360266
1900,0.16597581,0.33488485
2000,0.16401753,0.33370814
2100,0.16232915,0.33290258
2200,0.16058657,0.33417726
2300,0.327389,0.31650752
2400,0.2982436,0.31998694
2500,0.2792303,0.32740813
2600,0.2645394,0.3358889
2700,0.25445268,0.34210086
2800,0.24635407,0.34880865
2900,0.23777574,0.352833
