Step,Content Similarity,Style Similarity
0,0.96859145,0.19209549
100,0.56031597,0.33125535
200,0.35732743,0.4694426
300,0.35057643,0.4749791
400,0.34607184,0.48107114
500,0.34214592,0.48601645
600,0.33614072,0.4899894
700,0.3322309,0.49245545
800,0.32713175,0.4943919
900,0.32163745,0.49665952
1000,0.3141833,0.49935773
1100,0.30851245,0.50036323
1200,0.48891518,0.3548721
1300,0.30427426,0.50226355
1400,0.30095595,0.5030699
1500,0.2982548,0.50463045
1600,0.29387158,0.5055691
1700,0.29200226,0.5079831
1800,0.28982222,0.50987726
1900,0.28735507,0.50863975
2000,0.28558147,0.5087997
2100,0.28251487,0.51077664
2200,0.28191468,0.5117621
2300,0.44733655,0.37985128
2400,0.41914755,0.3964376
2500,0.40175664,0.41182575
2600,0.3901207,0.4314807
2700,0.38034528,0.44641125
2800,0.3701688,0.45699084
2900,0.36330122,0.46462765
