Step,Content Similarity,Style Similarity
0,0.96859145,0.08186616
100,0.487737,0.15841687
200,0.2538924,0.21992989
300,0.24824612,0.22294563
400,0.24120924,0.22573064
500,0.23690826,0.22858144
600,0.23403767,0.23194656
700,0.2294985,0.23584425
800,0.22464477,0.24081555
900,0.2228138,0.24352655
1000,0.21684057,0.24618341
1100,0.21054415,0.24724197
1200,0.3830667,0.18371715
1300,0.20670755,0.24829966
1400,0.2037118,0.24981958
1500,0.20198289,0.25306726
1600,0.20017225,0.2533871
1700,0.19672304,0.25223666
1800,0.19295353,0.25383425
1900,0.19030346,0.2545746
2000,0.18683183,0.25635627
2100,0.18489778,0.25934088
2200,0.18278219,0.2620008
2300,0.33091018,0.19312373
2400,0.30479544,0.19835725
2500,0.29234937,0.19963592
2600,0.28065154,0.2028074
2700,0.27359167,0.20598216
2800,0.26526654,0.2112261
2900,0.25780657,0.215191
