Step,Content Similarity,Style Similarity
0,0.96859145,0.08186616
100,0.50750715,0.16345373
200,0.28640947,0.21330473
300,0.28266338,0.21560797
400,0.2798065,0.21799521
500,0.27471584,0.22103682
600,0.26973245,0.22345375
700,0.26563132,0.22636461
800,0.2606892,0.22827785
900,0.256665,0.22917202
1000,0.25241542,0.22905302
1100,0.24858275,0.22977512
1200,0.41214392,0.18908994
1300,0.24324663,0.22973886
1400,0.23876402,0.2291095
1500,0.23642148,0.22896288
1600,0.23488694,0.22618896
1700,0.23272029,0.22491254
1800,0.23138148,0.22282012
1900,0.22708389,0.22281206
2000,0.22433761,0.22024895
2100,0.22076258,0.22060901
2200,0.21901494,0.22024983
2300,0.36986315,0.19444144
2400,0.34268293,0.1971823
2500,0.322322,0.19774151
2600,0.30918235,0.20055671
2700,0.29949975,0.20510927
2800,0.29448846,0.20770732
2900,0.28825215,0.2116012
