Step,Content Similarity,Style Similarity
0,0.98062015,0.08357608
100,0.4321781,0.22317606
200,0.32057756,0.22676024
300,0.3141216,0.2262494
400,0.31334692,0.22703889
500,0.30919367,0.22947514
600,0.3050845,0.22881392
700,0.29810596,0.23126909
800,0.29382765,0.23108934
900,0.2886516,0.23217113
1000,0.2848776,0.23699598
1100,0.27838197,0.2403006
1200,0.38457087,0.24340127
1300,0.27668834,0.24305074
1400,0.2711761,0.24618058
1500,0.27021897,0.24508032
1600,0.26585326,0.2474195
1700,0.26309714,0.24833882
1800,0.2626999,0.24966615
1900,0.2560233,0.25112495
2000,0.25425705,0.25368303
2100,0.2538027,0.2550263
2200,0.24929601,0.25633436
2300,0.36923045,0.24896777
2400,0.35863245,0.24518436
2500,0.34985697,0.24353601
2600,0.34214887,0.24032198
2700,0.33870143,0.22971123
2800,0.3290131,0.22891757
2900,0.32435346,0.22781532
