Step,Content Similarity,Style Similarity
0,0.96859145,0.14245616
100,0.5835081,0.22389881
200,0.26222232,0.2671788
300,0.2543729,0.26800174
400,0.24733087,0.26684016
500,0.24108511,0.26397398
600,0.23454253,0.26251653
700,0.22918148,0.25964034
800,0.22531514,0.25755972
900,0.22082254,0.2561558
1000,0.21708605,0.25295097
1100,0.21336868,0.25075573
1200,0.47061074,0.23544246
1300,0.21038339,0.24868315
1400,0.2073147,0.24591726
1500,0.20325443,0.24185064
1600,0.19870499,0.23764497
1700,0.19632755,0.23478927
1800,0.19336507,0.2331648
1900,0.19116253,0.23096666
2000,0.18896048,0.22934076
2100,0.18559317,0.2285254
2200,0.18341292,0.22746995
2300,0.40276328,0.23985663
2400,0.36214566,0.24505833
2500,0.33472264,0.25229126
2600,0.31270462,0.25770336
2700,0.2956513,0.26117432
2800,0.28139782,0.26325357
2900,0.27053887,0.26516694
