Step,Content Similarity,Style Similarity
0,0.9806733,0.08357608
100,0.5655893,0.11124926
200,0.32258144,0.15171485
300,0.3120506,0.15383586
400,0.30157012,0.15771475
500,0.2941823,0.16011909
600,0.28665978,0.16272488
700,0.28190488,0.16632119
800,0.27692196,0.17008784
900,0.27198386,0.17283082
1000,0.26701176,0.1766499
1100,0.263043,0.18044733
1200,0.48582456,0.11748182
1300,0.25865704,0.18368888
1400,0.25463587,0.18778238
1500,0.25107,0.19110069
1600,0.24696937,0.19478089
1700,0.2433413,0.19769698
1800,0.23881403,0.20055632
1900,0.23399179,0.20268106
2000,0.22883886,0.20655549
2100,0.22205642,0.2095215
2200,0.21774273,0.2114555
2300,0.44953606,0.1262396
2400,0.42275202,0.13342553
2500,0.4036433,0.13823478
2600,0.3847294,0.14113078
2700,0.36714715,0.14391407
2800,0.3525127,0.14676248
2900,0.33534664,0.14840758
