Step,Content Similarity,Style Similarity
0,0.9806733,0.07008472
100,0.4531148,0.067524634
200,0.2260229,0.12278775
300,0.21273911,0.12909369
400,0.20067315,0.13367331
500,0.19110389,0.1386641
600,0.18411098,0.14364985
700,0.17679057,0.14685851
800,0.16882771,0.14921151
900,0.15810058,0.15272133
1000,0.14832163,0.15582725
1100,0.1390847,0.15877777
1200,0.37647027,0.06155777
1300,0.13034734,0.16054344
1400,0.122538045,0.16296363
1500,0.11501524,0.16603735
1600,0.109502956,0.16813566
1700,0.10468137,0.1713861
1800,0.10014746,0.17418252
1900,0.09582306,0.17713143
2000,0.092825346,0.17873226
2100,0.08975876,0.18100691
2200,0.08636272,0.18270715
2300,0.3472944,0.07137661
2400,0.31785318,0.07851365
2500,0.29480496,0.08642811
2600,0.2806407,0.09556681
2700,0.2655096,0.102980934
2800,0.25432497,0.108745016
2900,0.24205117,0.11392556
