Step,Content Similarity,Style Similarity
0,0.96859145,0.19209549
100,0.59815514,0.24306408
200,0.39573872,0.28101274
300,0.3899284,0.2841245
400,0.38678527,0.2888535
500,0.3855533,0.29210705
600,0.38166207,0.2972212
700,0.3783096,0.30175346
800,0.37410408,0.30593586
900,0.3699451,0.3104806
1000,0.36535585,0.31376562
1100,0.36227113,0.31621516
1200,0.5205691,0.23915704
1300,0.3603195,0.31940144
1400,0.3582899,0.32188797
1500,0.35568392,0.32363302
1600,0.35336706,0.32504284
1700,0.3508144,0.3284623
1800,0.34905088,0.3295508
1900,0.34538,0.33023626
2000,0.34407595,0.3314508
2100,0.34168625,0.33367288
2200,0.33805174,0.3354934
2300,0.47883177,0.23776543
2400,0.4502685,0.24265406
2500,0.43404618,0.2532441
2600,0.41945726,0.25942168
2700,0.40878677,0.265612
2800,0.40434986,0.27170372
2900,0.39949796,0.27609658
