Step,Content Similarity,Style Similarity
0,0.96859145,0.08186616
100,0.5290651,0.12927894
200,0.22766148,0.18259469
300,0.22458126,0.18434846
400,0.22491336,0.18596886
500,0.22288439,0.18600395
600,0.22353481,0.18701443
700,0.22186014,0.18596922
800,0.22231421,0.18606895
900,0.21952988,0.18541129
1000,0.21900372,0.18599853
1100,0.21621843,0.18671921
1200,0.40784833,0.14868388
1300,0.21490736,0.18777242
1400,0.21640551,0.18966338
1500,0.21595493,0.19074753
1600,0.21603647,0.19309291
1700,0.21799044,0.19451617
1800,0.2200726,0.19550721
1900,0.22087377,0.19710547
2000,0.2203945,0.19921541
2100,0.21903525,0.19928598
2200,0.2169825,0.1998619
2300,0.35372347,0.16144417
2400,0.32069662,0.16116337
2500,0.28383392,0.16776767
2600,0.26571774,0.17161602
2700,0.2527984,0.1742158
2800,0.24252652,0.17804222
2900,0.23205227,0.18109414
