Step,Content Similarity,Style Similarity
0,0.9806733,0.08357608
100,0.42017454,0.16558161
200,0.27804416,0.20644453
300,0.27299333,0.21013264
400,0.2671538,0.21556452
500,0.26442108,0.21984988
600,0.2621105,0.22428164
700,0.25971654,0.22968203
800,0.25680515,0.23385194
900,0.2545264,0.2361022
1000,0.25033003,0.24076074
1100,0.2465846,0.24379227
1200,0.35288373,0.17047828
1300,0.24375457,0.2483893
1400,0.23918629,0.25226426
1500,0.23716165,0.25647855
1600,0.23432928,0.26016128
1700,0.23140351,0.26376706
1800,0.22830994,0.26791292
1900,0.22486113,0.27059662
2000,0.22070733,0.27397338
2100,0.21725002,0.27633694
2200,0.21286348,0.2787908
2300,0.32993037,0.1762141
2400,0.32039905,0.17997912
2500,0.3125034,0.18572679
2600,0.30172753,0.18969281
2700,0.29431325,0.19393289
2800,0.2891968,0.19779564
2900,0.28387672,0.201623
