Step,Content Similarity,Style Similarity
0,0.98062015,0.033133708
100,0.17621398,0.15255746
200,0.10209085,0.2882119
300,0.09866564,0.29500508
400,0.09538114,0.30255958
500,0.09385827,0.31027603
600,0.09009419,0.31789422
700,0.08749159,0.3249756
800,0.08582642,0.32987684
900,0.08454918,0.33464485
1000,0.0834977,0.33838874
1100,0.083361536,0.34370357
1200,0.1440341,0.19364014
1300,0.083048865,0.34906948
1400,0.08280933,0.35290658
1500,0.082178086,0.3555223
1600,0.0817171,0.35671917
1700,0.08094826,0.36143792
1800,0.080098376,0.36502603
1900,0.08047362,0.36835644
2000,0.07954458,0.373942
2100,0.07893056,0.37838823
2200,0.078206554,0.38066024
2300,0.13198033,0.21967743
2400,0.12614,0.23941916
2500,0.12166844,0.2504198
2600,0.11758663,0.2632277
2700,0.11425589,0.2725711
2800,0.10912599,0.2771031
2900,0.10468892,0.2812696
