Step,Content Similarity,Style Similarity
0,0.98062015,0.07008472
100,0.30035672,0.12898311
200,0.1453613,0.16605902
300,0.14061198,0.17373484
400,0.13230292,0.18323553
500,0.12961635,0.18882045
600,0.124063835,0.19235802
700,0.11861922,0.19645411
800,0.11535296,0.19899043
900,0.11357898,0.19909588
1000,0.10923295,0.20245646
1100,0.106670454,0.20067264
1200,0.25941294,0.14815545
1300,0.103795975,0.20202649
1400,0.09987727,0.20405157
1500,0.096554354,0.20624065
1600,0.093231544,0.20763347
1700,0.09015014,0.20900214
1800,0.086557895,0.20895198
1900,0.22314829,0.15248132
2000,0.19651923,0.1540454
2100,0.18376507,0.14857304
2200,0.1723323,0.14971058
2300,0.16174789,0.15145373
2400,0.15520854,0.15510285
2500,0.15134671,0.16020651
