Step,Content Similarity,Style Similarity
0,0.96859145,0.19209549
100,0.5411717,0.3118266
200,0.33128607,0.42641848
300,0.3273162,0.435244
400,0.32351357,0.44166368
500,0.3219502,0.4519706
600,0.32126492,0.46011192
700,0.31912032,0.46762973
800,0.31684902,0.47204822
900,0.31241435,0.4768079
1000,0.30905986,0.4786049
1100,0.3049321,0.48289204
1200,0.45891124,0.33411586
1300,0.30168557,0.48603603
1400,0.29885888,0.48949477
1500,0.29652143,0.49432015
1600,0.29212016,0.49539533
1700,0.28885412,0.4958403
1800,0.2844949,0.49805358
1900,0.28362894,0.4980127
2000,0.2794147,0.49910104
2100,0.27763763,0.49882218
2200,0.2740569,0.5004277
2300,0.41623673,0.35683677
2400,0.39275873,0.37458247
2500,0.38056365,0.38750812
2600,0.36703798,0.39491522
2700,0.35403216,0.4010529
2800,0.34616268,0.40941074
2900,0.3382488,0.41969913
