Step,Content Similarity,Style Similarity
0,0.98062015,0.08357608
100,0.45240438,0.21533437
200,0.30842635,0.22157079
300,0.30555475,0.22357035
400,0.29804677,0.2277344
500,0.2939225,0.22818446
600,0.28852454,0.22933863
700,0.28717393,0.23032443
800,0.2830847,0.22686529
900,0.27990153,0.22720596
1000,0.2781068,0.22608674
1100,0.27465427,0.22448045
1200,0.3948594,0.23305655
1300,0.2716834,0.2241042
1400,0.26962265,0.22654231
1500,0.2665885,0.22585848
1600,0.26537374,0.22740677
1700,0.2626661,0.22606194
1800,0.2575925,0.22745413
1900,0.25062752,0.22473446
2000,0.2468741,0.22396477
2100,0.24685386,0.22580034
2200,0.24035585,0.22506711
2300,0.37611097,0.23151338
2400,0.35360157,0.23200132
2500,0.34089252,0.22972834
2600,0.33155286,0.22618279
2700,0.32443726,0.2229464
2800,0.31803066,0.22231223
2900,0.31126726,0.2238758
