Step,Content Similarity,Style Similarity
0,0.98062015,0.033133708
100,0.20752516,0.16369516
200,0.14634001,0.22948992
300,0.14372872,0.23536712
400,0.14089727,0.23977515
500,0.13914141,0.24625358
600,0.13674405,0.2531848
700,0.13442174,0.2577858
800,0.1338115,0.25988567
900,0.1327054,0.2634145
1000,0.1315532,0.26406947
1100,0.13047504,0.2659793
1200,0.18332197,0.18116166
1300,0.13007894,0.26928452
1400,0.1290935,0.27074617
1500,0.12838364,0.27152854
1600,0.12653233,0.27463627
1700,0.12661281,0.27653176
1800,0.12716839,0.27578503
1900,0.1271822,0.27617225
2000,0.1271617,0.2788688
2100,0.12701705,0.279836
2200,0.1254232,0.28151426
2300,0.1787387,0.1952712
2400,0.17444775,0.20093776
2500,0.16713479,0.20418045
2600,0.16195872,0.20941909
2700,0.15884848,0.21281531
2800,0.15417683,0.21838598
2900,0.14907295,0.22452012
