Step,Content Similarity,Style Similarity
0,0.98062015,0.07008472
100,0.33756405,0.13342679
200,0.23086487,0.15560906
300,0.22962835,0.15565848
400,0.22751617,0.15532866
500,0.22462523,0.15495968
600,0.22226508,0.15507737
700,0.22371703,0.15418577
800,0.22592968,0.15155877
900,0.22339682,0.15035626
1000,0.22313222,0.14941259
1100,0.22273904,0.14757529
1200,0.29612714,0.1588926
1300,0.22064412,0.14731148
1400,0.2209293,0.14697814
1500,0.22192767,0.14490873
1600,0.22294009,0.1444411
1700,0.21805927,0.14645393
1800,0.21719673,0.1470598
1900,0.21871942,0.14601585
2000,0.21639642,0.14664981
2100,0.21512623,0.14688827
2200,0.21421504,0.14760378
2300,0.28102654,0.16311839
2400,0.27246583,0.16174558
2500,0.2623775,0.16152853
2600,0.2520447,0.16415343
2700,0.24428336,0.16185066
2800,0.2401924,0.16204907
2900,0.2354792,0.16016339
